5,143
5,459
5,1556
5,2009
5,2290
5,3550
5,3553
5,3598
5,3663
5,3671
5,3698
5,3711
5,3720
5,3805
5,3830
5,3853
5,3866
5,3897
5,3906
5,3922
5,3986
5,4039
5,4067
5,4080
5,4128
15,22
15,459
15,590
15,1214
15,4363
15,4387
15,4412
15,4413
15,4435
15,4447
15,5422
22,378
22,395
22,492
22,590
22,682
22,1527
22,1783
22,2080
22,2242
22,2290
22,2798
22,2972
22,3480
22,3526
22,4435
22,4771
22,4836
22,4902
22,4918
22,4920
22,4924
22,4925
22,4926
22,4928
22,4929
22,4933
22,4935
22,4938
22,4939
22,4942
22,4943
22,4944
22,4945
22,4954
22,4955
22,4962
22,4963
22,4970
22,4971
22,4972
22,4978
22,4982
22,4985
22,4986
22,4987
22,4991
22,4994
22,4996
22,4998
22,5001
22,5003
22,5014
22,5015
22,5018
22,5021
22,5024
23,5003
23,5040
23,5046
90138,34190
34,345
34,459
34,526
34,1615
34,3553
34,5285
34,5298
34,5309
34,5312
34,5330
90146,11051
36,3598
32809,526
16428,459
16428,590
16428,604
16428,2080
16428,5824
16428,7074
16428,9901
16428,18124
16428,102129
65584,13274
65584,29605
65584,49892
65584,69989
65584,71858
65584,116077
8244,3132
24639,578
24639,4487
24639,9661
24639,31296
24639,36355
24639,37169
24639,72094
24639,116728
65602,2791
65602,6168
65602,62741
65602,152886
24645,5818
24645,6540
24645,7960
65609,2798
65609,7074
65609,76983
24667,1556
8287,492
8287,7508
8287,28140
8287,31296
24673,492
24673,3598
24673,6258
24673,6393
24673,6540
24673,6636
24673,7359
24673,28140
24673,31490
24673,31817
24673,36957
24673,76232
24673,78175
24673,107061
24673,116747
32869,13107
32869,33793
32872,4359
32872,12604
32872,33081
32872,45051
32872,82464
32872,93409
24684,378
24684,4435
24684,73272
24684,84754
32876,1500
32876,52647
32876,52663
57455,17592
57455,47876
57455,105012
57455,108073
114810,145838
57472,3553
155779,68077
123020,30658
143,459
143,590
143,682
143,1500
143,2081
143,3830
143,5717
143,9796
65681,8415
65681,37082
41107,41154
32919,578
32919,29878
49309,1317
49309,10441
49309,74053
49309,81446
73890,5894
73890,21026
73890,23923
73890,39732
73890,109831
73890,109835
49331,32980
41154,5899
41154,13732
41154,134385
16581,459
123078,30710
65744,34994
65744,60053
82130,22440
82130,116009
24787,1556
24787,3011
24787,8662
24787,76360
24787,116841
24787,116842
24787,116845
8403,459
8403,682
8403,2081
8403,4928
8403,28355
114899,23331
32980,39520
213,5015
213,6606
8410,578
8410,6197
8410,6393
8410,39968
8410,71245
8410,78269
114907,23331
8415,3671
8415,4689
8415,5537
8415,5824
8415,6393
8415,8155
8415,9299
8415,26737
8415,43627
8415,47942
8415,52850
8415,64119
8415,70907
8415,75545
8415,78503
8415,84069
8415,84073
223,4848
223,8155
223,22000
223,22006
49378,1327
49378,7466
49378,49379
49378,49384
49378,49388
49378,49392
49378,49393
49378,49396
49378,49398
49378,49399
49379,1327
49379,49382
49379,49384
49379,49388
49379,49390
49379,49392
49379,49393
49379,49395
49379,49397
49379,49398
49379,49399
49379,126980
49381,1327
49382,1327
49382,49388
49382,49391
49382,49393
49382,49396
49382,49398
49382,49399
8423,4649
8423,4666
8423,4744
8423,5040
8423,9619
8423,11794
8423,34190
8423,84097
49383,1327
49383,1786
49383,49386
49383,49387
49383,49389
49384,1327
49384,49392
49384,49393
49384,49398
49385,1327
49385,1786
49385,49386
49385,49387
49385,49389
49385,49397
49386,1327
49386,1786
49386,49387
49386,49389
49386,49392
49386,49397
49386,49399
49386,142916
33004,32408
49387,1327
49387,1786
49387,49389
49387,49397
49387,142916
49388,1327
49388,49390
49388,49391
49388,49392
49388,49393
49388,49395
49388,49396
49388,49397
49388,49398
49388,49399
49388,126981
49389,1327
49389,1786
49389,49392
49389,49397
49389,142916
49390,1327
49390,49391
49390,49392
49390,49395
49390,49398
49390,49399
49392,1327
49392,1786
49392,7466
49392,49391
49392,49395
49392,49396
49392,49397
49392,49398
49392,49399
49393,1327
49393,7466
49393,49396
49393,49398
49393,126980
49394,1327
49391,1327
49391,49395
49391,49397
49391,49398
49391,49399
243,590
243,2132
243,2245
243,8917
243,11697
49395,1327
49395,7466
49395,36349
49395,49397
49395,49398
49395,49399
49396,1327
49396,7466
49396,49398
49399,1327
49399,49397
49399,49398
49397,1327
49397,1786
49397,49398
49398,1327
49398,126980
33019,2080
33019,125455
123144,30800
123144,56024
123145,30800
16649,14745
16649,47674
24844,459
24844,1973
24844,2081
24844,5915
24844,6540
41232,28498
65808,10864
65808,154699
123154,30814
41235,74228
41235,85338
33048,43728
24861,459
24861,2081
24861,3553
24861,3830
24861,5589
24861,5605
24861,5862
24861,25198
24861,28984
24861,39529
8478,604
8478,11428
8478,18124
8478,27177
8478,37390
8478,63384
8480,395
8480,1503
8480,7178
8480,84226
24871,2009
74025,64959
298,459
298,487
298,4345
298,4572
298,4595
298,23275
8491,2557
8491,3553
8491,23109
8491,23618
8491,30083
8491,30267
74036,4924
74036,53733
33081,526
33081,2081
33081,3480
33081,4342
33081,4359
33081,5285
33081,6540
33081,12604
33081,34270
33081,59177
33081,59178
33081,59179
33081,60527
33081,67515
33081,67523
33081,71522
33081,71523
33081,71526
74049,4929
74049,5018
74049,71244
74049,74052
74052,4929
74052,5018
74052,71244
74053,71403
74053,81587
74053,119656
74053,158551
123211,30878
123211,123212
123212,30878
74062,4933
74062,6197
74062,31282
74062,72575
24919,459
24919,604
24919,5918
57687,2245
57687,5943
345,2081
345,3480
345,5285
345,6083
345,24342
345,24344
345,24345
74075,4938
74075,19388
74075,26457
74075,108729
74075,108730
74075,108732
180573,123628
155999,68585
74080,4938
123234,30897
74085,4938
24938,378
24938,31243
24939,378
24939,33424
24943,378
24946,378
74101,4942
24949,378
24951,378
24951,5021
24952,378
24953,378
24953,2242
24953,15990
24953,24959
24953,24963
24953,50292
378,590
378,682
378,1527
378,1783
378,2080
378,2412
378,2798
378,2972
378,3698
378,4435
378,4771
378,4817
378,4902
378,4920
378,4943
378,6258
378,7229
378,12146
378,24101
378,24954
378,24957
378,24958
378,24959
378,24962
378,24963
378,24965
378,24966
378,24968
378,24969
378,24970
378,24972
378,24975
378,24976
378,24977
378,24979
378,24980
378,24981
74106,4942
74106,36651
74106,72094
24957,117021
24959,4435
24959,4771
24959,4902
24959,71356
74107,4943
74107,74110
180604,123740
24962,55616
24962,71127
24962,117023
24962,117025
24962,117029
24963,974
24963,1537
24963,112455
74110,4943
74110,69333
74110,108062
74110,123765
74110,137577
74110,156365
98687,14877
24968,682
24968,4928
24968,9395
24968,12012
24968,28355
24968,32038
24968,39391
24968,39397
24968,39401
24968,39410
24968,51350
24968,72606
57737,2009
395,578
395,590
395,646
395,776
395,1359
395,1503
395,1556
395,2059
395,2132
395,4771
395,4971
395,4994
395,5537
395,7178
395,8664
395,9497
395,12545
395,12899
395,21544
395,25227
395,25228
395,25230
395,25233
395,25234
395,25235
395,25237
395,25238
395,25239
395,25241
395,25242
395,25245
395,25246
395,25250
395,25251
395,25253
395,25254
395,25255
395,25257
395,25260
395,25261
395,25262
395,25263
395,25265
395,25266
395,25267
395,25268
395,25269
395,25270
395,49727
24970,604
24970,29346
24970,29390
24970,30521
24970,42588
24970,48497
41354,12899
41354,134595
41354,134597
24975,31291
24976,1522
24976,4955
24976,32038
24977,682
24977,974
24977,2009
24977,2412
24977,4814
24977,12146
24977,26674
24977,28355
24977,73498
16787,604
16787,2081
16787,2105
16787,3553
16787,5824
16787,10484
16787,11428
16787,26866
24980,4435
24980,27136
24981,1557
24981,1762
24981,2798
24981,4720
24981,6499
24981,117049
24981,117050
65946,27889
65946,28146
65946,77530
65946,95625
417,3132
417,3906
417,4771
74145,4954
74148,4954
74149,4954
74150,4954
8620,1527
8620,4771
8620,6024
8620,16182
8620,25198
8620,28981
8620,39405
8620,52946
8620,79004
8620,84363
131507,39112
49592,114242
74171,52658
8643,974
8643,43393
8643,84416
65989,5874
459,492
459,526
459,578
459,579
459,590
459,604
459,607
459,682
459,868
459,974
459,1269
459,1428
459,1500
459,1522
459,1556
459,1615
459,1620
459,1800
459,2009
459,2081
459,2105
459,2153
459,2290
459,2798
459,3132
459,3221
459,3550
459,3553
459,3598
459,3671
459,3698
459,3853
459,3866
459,3922
459,4363
459,4413
